ward_preci,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0109,1724,2451,2941,3707,5552,5552,5568,4971,4200,3919,4029,4164,4001,3846,4122,4405,6436,7172,8336,12179,13227,14326,15984,15671,11738,10458,9897,9897,9902,10828
1813,2145,2807,3530,4263,6172,6176,6186,5729,5335,5075,5325,5407,5390,5311,5652,5845,7415,7389,8195,11762,12423,13554,16271,15729,12946,11598,11484,11567,11660,11926
0508,6267,8370,10179,12423,15101,15198,15184,11830,10943,10924,12071,12498,14105,18851,18753,20063,26300,28739,30410,29500,30292,33022,36808,40734,42077,39786,39156,41134,44531,48778
0105,1463,2505,3006,3768,5724,5732,5732,4773,4021,3770,3825,3868,3780,3728,3836,4073,6169,6257,7589,12095,12900,14099,16287,15737,12489,11002,10437,10463,9492,10343
0104,1756,2246,2694,3381,4935,4935,4935,4737,4081,3912,3826,3888,3786,4174,4217,4578,6243,6539,7545,11556,11634,12719,15437,14929,12263,10785,9850,9981,10050,11124
0107,1703,2518,2972,3815,5800,5804,5847,5079,4328,4031,4153,4312,4172,3626,3861,4099,6042,6634,7721,11586,12752,13869,16019,15639,11805,10357,9749,9769,10022,10877
0106,1704,2547,3052,3884,5768,5775,5782,5147,4397,4132,4288,4390,4297,4177,4386,4662,6383,6879,8003,11555,12641,13802,16127,15541,12010,10594,10016,10015,10029,11103
0101,1717,2761,3333,4126,6143,6218,6226,5588,4821,4527,4237,4282,4176,4318,4476,4729,7142,7823,8768,12414,13214,14785,17144,16614,14176,13021,12458,12326,12491,13395
0103,1842,2449,2946,3605,5261,5275,5261,4787,4047,3816,3487,3584,3632,3691,3845,4155,6266,6864,7728,11465,12205,13516,15982,15046,12938,11998,11223,11136,11370,12332
0102,1512,2455,2954,3709,5314,5280,5287,4402,3739,3527,3261,3384,3356,3424,3534,3882,5784,6399,7161,10856,11842,13249,15319,14827,12464,11368,10472,10502,10199,11174
0905,1051,1641,1966,2594,3694,3719,3821,3818,3553,3327,3435,3532,3441,3525,3707,3936,5813,6381,7243,10077,10067,11058,13662,13342,11800,11198,10983,10823,10555,11063
0904,1297,1997,2330,3017,4566,4769,4831,4259,3961,3680,3962,4023,4335,3799,4045,4394,6262,6468,6679,9143,9383,10027,13703,14423,13516,12161,12123,12193,13285,14746
0901,3510,3960,4934,5842,7653,7653,8143,5809,5636,6210,6693,6497,7018,8815,8678,9387,13010,14554,13758,16261,16261,16469,19563,19894,19924,20768,22666,25158,26046,29174
0903,2342,3744,4457,5454,7109,7289,7283,6778,6264,5956,5961,6145,6003,5564,5677,6214,8674,9089,10595,14220,14620,15232,19736,18747,17438,16513,16342,16556,18115,19755
0902,3159,5064,6338,7576,10172,10166,10196,7733,7355,7164,7559,8001,8445,9994,10139,10957,14647,17015,19130,21843,22531,23656,29590,29655,29655,28487,28059,28763,31207,33566
0608,2422,3730,4614,5708,8217,8175,8165,7178,6819,6674,6974,7136,7354,7727,8025,8579,11859,13017,14521,17658,18625,19495,23086,21569,20969,19848,19952,20556,21670,23310
1413,1942,1757,2213,2730,4795,4845,4863,4714,4277,3901,4048,4255,4231,4255,4397,4491,5629,6230,7080,9996,10603,11639,13768,13782,11285,10023,9948,9607,9929,10398
0510,4840,5829,7134,8436,9482,9499,9631,7673,7391,6597,6835,7054,7860,8295,8529,10762,13996,15371,15371,16835,16097,17704,20788,22097,22656,21333,20461,20770,22102,25214
2208,4583,5592,6671,7858,9933,9933,9938,8636,7558,7472,8036,8272,9523,9864,10403,11304,15280,14683,16018,20315,21234,21900,23011,21703,20571,19725,20320,20794,22009,22834
2105,3165,4305,5164,6175,7539,7579,7776,6572,5925,5773,5785,6024,5978,6498,6844,7297,10134,10593,11819,14944,15461,17022,19043,19141,18084,17914,17548,18193,18821,20239
1009,1733,2553,3124,3961,6377,6377,6388,5953,5038,4787,4922,4981,4901,4968,5088,5294,6900,7546,9089,12974,13624,14396,18418,17840,16949,15851,15743,15743,15979,17056
1008,1776,2240,2863,3592,5405,5482,5874,5206,4427,4174,4284,4423,4199,4110,4331,4533,6482,7552,8706,13851,14296,15626,18640,17865,17128,16046,15905,16730,17348,19472
1007,1271,1915,2433,3164,4957,4978,5045,4992,4222,4012,3998,4033,3917,4255,4471,4690,6464,7048,8360,12435,12974,14124,17432,16460,15539,14800,14663,14663,15114,16147
1006,1606,2473,3062,3922,6335,6385,6562,5660,5104,4730,4891,4966,4973,5091,5400,5554,7176,8567,10127,15431,15135,15809,19053,18353,17963,17246,17073,17073,18123,19362
1005,1197,2209,2805,3568,5904,5904,5946,5095,4252,4019,4050,4153,3782,3712,3853,4089,5928,7318,8956,13196,14118,15481,17450,16869,16416,15898,15907,17361,18061,20458
1004,1511,2478,3059,3853,6165,5918,6098,5380,4519,4272,4434,4550,4207,4262,4630,4864,6519,8027,9627,14490,15514,17002,18639,18166,17532,17037,16994,18076,19580,22151
1003,1225,2205,2779,3494,5303,5319,5361,4755,4048,3862,3938,4047,3848,3873,4014,4231,6043,7648,8861,13338,14421,15817,18003,16972,16559,15649,15511,16644,17728,20202
1002,1193,2388,3031,3819,5797,5797,5820,5356,4532,4296,4371,4502,4321,4211,4407,4676,6506,8163,9516,13991,14986,16245,18406,17623,16915,15897,16065,17320,18550,20961
1001,3174,2966,3679,4670,7658,7711,7711,6652,6183,5650,5312,5396,5451,6087,6114,6114,9655,10365,11888,13019,13431,14838,23097,21687,22357,21954,21736,22142,23258,25013
1908,3534,4470,5376,6502,8814,8799,8814,7668,6944,6806,7282,7780,8410,9255,10074,10546,13013,13811,15387,19326,19634,21568,23381,22614,21452,21715,21575,21838,22779,24031
1909,3424,4434,5511,6480,8326,8285,8285,7458,6567,6447,6754,7187,7740,8560,9257,9566,12204,12622,14144,18468,19267,21089,23074,22195,21052,20917,20706,20773,21620,22370
1906,1886,3639,4580,5369,7132,7132,7101,6829,5972,5783,6165,6304,7086,8634,9159,9233,11151,11982,13290,17107,17435,19113,21755,20756,20791,20702,20842,20985,21390,23083
1907,2546,3305,4184,5139,7492,7508,7515,6446,5776,5703,5799,5996,6041,6218,6549,6924,9049,9299,10370,13974,15073,16497,18278,17823,15887,15063,14824,14886,15326,15683
1904,2074,3052,3814,4752,6960,6980,6987,6562,5802,5574,5995,6123,6645,7588,7976,8395,10416,11289,12443,15951,15987,17033,19581,19035,18619,17867,17739,17788,18779,20401
1905,3115,4185,5184,6171,8205,8163,8253,7388,6649,6309,6768,7010,7655,8835,9355,9764,12187,12951,14385,17526,17740,19626,22342,21589,20506,20588,20382,20752,21436,22859
1902,5724,7070,8661,9957,11688,11645,11663,11268,11278,11251,11769,12718,13005,14412,14961,14965,18265,19383,20941,25227,26754,27624,29975,29356,29489,29718,29460,29527,30347,30348
1903,3708,4273,5205,6250,7959,7917,7959,7387,6318,6276,6646,6892,7391,8423,8944,9395,11147,11892,13184,16666,16719,18418,20885,20572,19654,18956,18768,18744,19619,20777
1901,1795,2161,2730,3517,5709,5727,5742,5235,4513,4296,4392,4494,4352,4664,4850,5043,7479,8003,8938,12333,12928,14148,17265,16535,16180,15447,15316,15378,15775,17147
0509,5620,8412,10047,12337,14300,14390,14722,11146,10155,10211,11013,11598,12618,16384,16666,18038,24142,26350,26227,25218,25336,27329,32158,35750,36689,34363,34666,36377,38691,43012
2201,2978,4060,4896,5991,7707,7717,7731,6513,5830,5729,6089,6198,6479,6731,7066,7509,9855,10511,11704,16208,17580,18995,19180,18919,18069,16054,15948,15936,16645,17885
2202,2851,4086,4900,5907,8171,8198,8254,7233,6350,6265,6684,6749,7132,7182,7595,8053,10482,11167,12216,16057,17449,18871,19871,19149,17880,16272,16130,16225,16759,17829
2203,3228,4668,5634,6672,8601,8616,8627,7024,6182,6168,6725,6923,7032,7572,8011,8664,11432,11935,13326,15843,16837,17677,19552,18783,17941,17098,17295,17366,18020,18676
2204,3948,5329,6434,7810,10594,10584,10584,9015,7781,7781,7861,8435,8419,9452,10097,10773,14138,15000,16638,20744,21101,21798,23839,22754,21256,20132,20024,20271,21061,21833
2205,2803,3834,4592,5687,7088,7093,7093,6651,5758,5758,5788,5907,6166,6557,6817,7363,10011,10726,12125,15639,16532,17940,18875,18424,17382,16217,16205,16268,17251,17980
2206,3412,4645,5616,6735,8311,8316,8311,7279,6292,6246,6846,6946,7061,7728,8157,8679,11963,12439,13834,17273,18645,19140,21856,20511,19501,18272,18598,18673,19314,19897
2207,3273,4602,5573,6677,8440,8440,8479,7541,6750,6750,6936,7212,7264,7936,8338,8925,12278,12987,14479,17489,18138,18818,20477,19909,18857,17765,17568,17723,18304,19274
0501,5248,7422,9118,10771,13752,13694,13659,11568,10882,10731,11880,12325,13150,13830,14807,15885,23156,24968,27812,33226,35199,36301,42665,41717,42133,40949,41636,43699,43620,46309
2209,4539,5451,6519,7632,10151,10136,10137,8447,7267,7223,7665,7988,9175,9428,10122,10798,14866,14334,15930,19611,20736,21347,22486,21178,20072,19068,19638,20150,21335,21972
0503,10936,12593,15444,18201,20732,20606,20732,17537,16716,16744,18686,20378,22349,27546,27307,29534,39225,44283,46609,48095,51690,54816,59698,59096,59134,58086,59768,62659,68754,75451
0502,3634,4804,6110,6515,8193,8697,8825,7206,6585,5703,6150,6559,7072,8776,8839,9055,12415,12828,12987,12987,13841,14328,16921,17110,17995,16878,15914,16815,17454,18814
0505,10700,11981,14357,16929,19794,19568,19879,16579,15649,15649,17618,18845,20877,24535,24327,26423,37081,40845,46674,45054,47890,50495,56934,55400,56320,55064,58338,62593,66747,71134
0504,7253,10829,13599,15768,19345,19329,19471,15421,14674,14282,15053,15834,17109,19731,19551,21778,28849,32142,36071,41278,41796,43952,50369,48286,49381,47127,47486,49525,53354,56921
0507,6929,10147,11925,13966,15887,16209,16209,12159,11005,11019,11609,12148,13031,17579,17688,19283,25889,26176,25817,25400,25723,26688,30371,35327,36496,33797,32495,33239,35237,39760
0506,6811,8752,10617,12533,16690,16638,16588,13089,12193,12132,13389,14159,14674,19795,20098,21677,29788,32097,32640,31216,32095,33903,38476,44853,45847,42588,41956,44183,46866,51416
1502,1043,1640,2006,2548,3904,3936,3936,3883,3448,3275,3433,3534,3500,3462,3571,3778,5020,5462,6339,9329,10075,11025,12980,12926,9758,8369,8090,8102,8359,8861
1503,1264,1790,2181,2771,4031,4082,4173,4031,3585,3404,3472,3546,3533,3409,3461,3688,5075,5545,6414,9366,10076,11073,12895,12780,9817,8562,8338,8450,8737,9297
1501,1079,1672,2006,2531,4354,4406,4426,4036,3627,3438,3518,3638,3494,3606,3727,3961,5305,5690,6688,9618,10346,11214,13325,13262,10797,9449,9395,9336,9719,10096
1506,1454,2486,3053,3741,5252,5353,5400,5195,4666,4366,4392,4383,4340,4433,4584,4795,6388,6658,7337,10013,10971,12160,15259,14832,12419,10675,10037,9964,10544,10970
1507,1351,2027,2574,3199,4451,4457,4457,4484,3946,3750,3581,3768,3643,3358,3488,3678,5425,5798,6530,10006,10914,11970,13469,12933,9712,8663,7962,8066,8354,8931
1504,1226,1770,2208,2783,4117,4123,4166,4086,3652,3413,3548,3660,3493,3285,3399,3600,5354,5730,6649,8934,9977,11000,13334,13071,10100,8752,8447,8543,8948,9524
1505,1079,1843,2336,2931,4302,4302,4302,4341,3822,3636,3574,3662,3600,3354,3464,3681,5140,5539,6213,9548,10398,11413,13106,12636,9451,8333,7645,7685,8144,8691
2110,3454,4609,5418,6719,8741,8835,8835,7602,6538,6410,6671,6897,7338,9186,9404,9824,14045,14230,15208,18367,18767,20210,22835,21895,20404,19209,19016,19402,21045,22207
2111,3707,5260,6366,7489,9913,9913,9958,8598,7379,7256,7546,7777,8392,9087,9693,10369,13663,14641,16201,19914,21111,21604,22450,21512,20152,19143,18952,19096,20482,21354
1508,1218,2411,3013,3689,5018,5091,5091,5020,4476,4219,4048,4180,4097,4126,4299,4524,5940,6415,7032,10609,11478,12605,14695,14109,10941,9868,9266,9267,9772,10156
2113,3830,5079,6101,7327,9578,9621,9621,8250,7187,7177,7528,7671,8048,8903,9462,10022,12907,13677,15110,18744,19547,20248,21465,20372,19312,18594,18612,19051,20272,21097
